,base_color_a,base_color_b,base_color_lum,base_ori,button,correct_answer,reaction_time,response,task,trial_color,trial_cue,trial_direction,trial_end,trial_orientation,trial_position_x,trial_position_y,trial_start,trial_stimulus,trial_stimulus_label
21,-80,75,55,135,s,0.0,1.0584034290259297,-1.0,1,-22.581403600263677,green135,1.0,209.22760865010059,-4.6490151132951025,0,0,202.88428873009616,3,green135
22,80,75,55,135,s,1.0,2.3583428481033479,-1.0,1,11.002281718750002,red45,-1.0,215.84389280170581,4.6490151132951025,0,0,209.49913518953326,1,red135
23,80,75,55,45,f,1.0,2.391642968836095,1.0,1,11.002281718750002,red135,1.0,222.95188620479894,-5.135273152756624,0,0,216.10847776537776,0,red45
24,80,75,55,45,s,0.0,2.2333588485926157,-1.0,1,11.002281718750002,red45,1.0,230.05983342384934,5.135273152756624,0,0,223.21920286911336,0,red45
25,-80,75,55,135,j,1.0,1.1001113263519073,-1.0,2,-26.055657794511724,green135,-1.0,237.16774557723693,-4.6490151132951025,0,0,230.3245478168792,3,green135
26,-80,75,55,135,l,1.0,1.7500539526554348,1.0,2,-26.055657794511724,red135,1.0,244.27574610749798,4.5281096197293564,0,0,237.43645175406709,3,green135
27,-80,75,55,45,l,1.0,0.93342940754519077,1.0,2,-26.055657794511724,green45,1.0,251.38365227406757,5.135273152756624,0,0,244.54270897923197,2,green45
28,-80,75,55,135,l,1.0,0.8834750926871493,1.0,2,-26.055657794511724,green135,1.0,257.99163926270921,4.5281096197293564,0,0,251.65079703110678,3,green135
29,-80,75,55,45,s,0.0,2.200062719068228,-1.0,1,-26.055657794511724,green135,1.0,265.09959389401411,-5.0143676591908779,0,0,258.25845816566653,2,green45
30,80,75,55,45,s,0.0,2.191674898545898,-1.0,1,14.476535912998049,red45,1.0,272.20748324046872,-5.0143676591908779,0,0,265.36465381211019,0,red45
31,-80,75,55,135,l,1.0,0.97509881817313726,1.0,2,-29.529911988759771,green135,1.0,279.3238656044341,4.5281096197293564,0,0,272.47803307290815,3,green135
32,80,75,55,45,s,1.0,1.1917624201560102,-1.0,1,17.950790107246096,red45,-1.0,285.94012723418928,-5.0143676591908779,0,0,279.59398923227491,0,red45
33,80,75,55,135,l,0.0,1.7584218171141401,1.0,2,17.950790107246096,red135,-1.0,292.54809312641737,-4.4072041261636103,0,0,286.20905007690453,1,red135
34,-80,75,55,45,l,1.0,1.8417019105072541,1.0,2,-29.529911988759771,green45,1.0,299.68934331706987,5.0143676591908779,0,0,292.84802798410965,2,green45
35,-80,75,55,135,s,1.0,1.2917485934522119,-1.0,1,-29.529911988759771,green135,-1.0,306.79735696131684,4.5281096197293564,0,0,299.95661066138564,3,green135
36,80,75,55,45,s,1.0,2.0917021243258205,-1.0,1,17.950790107246096,green135,-1.0,313.4135795341972,-5.0143676591908779,0,0,307.06673223660619,0,red45
37,80,75,55,135,l,0.0,1.4083670092004468,1.0,2,17.950790107246096,red45,-1.0,320.02996289596922,-4.5281096197293564,0,0,313.68419579183683,1,red135
38,-80,75,55,135,l,1.0,1.7084512523142621,1.0,2,-29.529911988759771,green135,1.0,326.63795102495715,4.6490151132951025,0,0,320.29896955416916,3,green135
39,80,75,55,135,s,1.0,0.75845260647474788,-1.0,1,17.950790107246096,red135,-1.0,333.75417345529422,-4.6490151132951025,0,0,326.90991830841085,1,red135
40,-80,75,55,45,f,1.0,2.383338963798451,1.0,1,-29.529911988759771,green45,1.0,340.86212694625283,5.0143676591908779,0,0,334.02058610972017,2,green45
41,-80,75,55,45,j,1.0,0.86678953902810463,-1.0,2,-29.529911988759771,green45,-1.0,347.97008100738458,-5.0143676591908779,0,0,341.13100702596057,2,green45
42,80,75,55,45,j,0.0,1.5167515512293903,-1.0,2,14.997674042135257,red45,1.0,354.58637969840856,5.0143676591908779,0,0,348.24105904002863,0,red45
43,80,75,55,135,s,1.0,1.6166875492635882,-1.0,1,14.997674042135257,red135,-1.0,361.20269463937439,4.6490151132951025,0,0,354.85647738336047,1,red135
44,-80,75,55,135,l,1.0,1.325076367596921,1.0,2,-29.529911988759771,green45,1.0,367.81901043559992,4.6490151132951025,0,0,361.47807868677774,3,green135
45,80,75,55,135,s,1.0,1.0667370830778964,-1.0,1,14.997674042135257,green45,-1.0,374.95200765172558,4.6490151132951025,0,0,368.10592281848221,1,red135
46,80,75,55,135,l,1.0,1.2750909782880626,1.0,2,14.997674042135257,green45,1.0,382.07656288085855,4.6490151132951025,0,0,375.2370735281329,1,red135
47,-80,75,55,135,f,0.0,1.8667271050435374,1.0,1,-29.529911988759771,green135,-1.0,389.20951134716233,4.5462454437642181,0,0,382.36468403129766,3,green135
